name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abyssal Specter,{2}{B}{B},4,B,George Pratt,,Creature — Specter,"Flying\nWhenever Abyssal Specter deals damage to a player, that player discards a card.","ICE,5ED,6ED,BRB,7ED,DKM,8ED,DDC,DPA,DD3_DVD",,normal,21167,2,3,Uncommon,Specter,Creature
Advance Scout,{1}{W},2,W,Heather Hudson,,Creature — Human Soldier Scout,First strike\n{W}: Target creature gains first strike until end of turn.,"TMP,BRB","""The soldier's path is worn smooth by the tread of many feet—all in one direction, none returning.""\n—Oracle en-Vec",normal,21186,1,1,Common,"Human,Soldier,Scout",Creature
Air Elemental,{3}{U}{U},5,U,D. Alexander Gregory,,Creature — Elemental,Flying,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,PO2,6ED,S99,BRB,BTD,7ED,8ED,9ED,10E,DD2,M10,DPA,ME4,DD3_JVC","These spirits of the air are winsome and wild and cannot be truly contained. Only marginally intelligent, they often substitute whimsy for strategy, delighting in mischief and mayhem.",normal,21121,4,4,Uncommon,Elemental,Creature
Angelic Page,{1}{W},2,W,Rebecca Guay,,Creature — Angel Spirit,Flying\n{T}: Target attacking or blocking creature gets +1/+1 until end of turn.,"USG,BRB,7ED,8ED,DDC,DD3_DVD",If only every message were as perfect as its bearer.,normal,21177,1,1,Common,"Angel,Spirit",Creature
Arc Lightning,{2}{R},3,R,Andrew Goldhawk,,Sorcery,"Arc Lightning deals 3 damage divided as you choose among one, two, or three target creatures and/or players.","pARL,USG,BRB,HOP,KTK,FRF_UGIN","Rainclouds don't last long in Shiv, but that doesn't stop the lightning.",normal,21102,,,Common,,Sorcery
Argothian Elder,{3}{G},4,G,DiTerlizzi,,Creature — Elf Druid,{T}: Untap two target lands.,"USG,BRB","Sharpen your ears\n—Elvish expression meaning\n""grow wiser""",normal,21182,2,2,Uncommon,"Elf,Druid",Creature
Armored Pegasus,{1}{W},2,W,Una Fricker,,Creature — Pegasus,Flying,"POR,pPOD,TMP,ATH,6ED,BRB,S00,TPR","""I always charge a little extra to take on a pegasus. They fly like eagles, kick like mules, and hide like hermits.""\n—Tahlil en-Dal, bounty hunter",normal,21120,1,2,Common,Pegasus,Creature
Azure Drake,{3}{U},4,U,Janine Johnston,,Creature — Drake,Flying,"LEG,CHR,5ED,BRB,9ED,M11","Little dreamt could seem so cruel\nAs waiting for the wings outspread,\nThe jagged teeth, the burning eyes,\nAnd dagger-claws that clench to nerves.",normal,21122,2,4,Uncommon,Drake,Creature
Blinking Spirit,{3}{W},4,W,L. A. Williams,,Creature — Spirit,{0}: Return Blinking Spirit to its owner's hand.,"ICE,5ED,BRB,9ED","""Don't look at it! Maybe it'll go away!""\n—Ib Halfheart, goblin tactician",normal,11177,2,2,Rare,Spirit,Creature
Broken Fall,{2}{G},3,G,Zina Saunders,,Enchantment,Return Broken Fall to its owner's hand: Regenerate target creature.,"TMP,BRB","""I think I used up all my good luck and all my bad luck in the same fall.""\n—Gerrard of the Weatherlight",normal,21099,,,Common,,Enchantment
Cackling Fiend,{2}{B}{B},4,B,Brian Despain,,Creature — Zombie,"When Cackling Fiend enters the battlefield, each opponent discards a card.","USG,BRB",Its windpipe is only the first to amplify its maddening laughter.,normal,21168,2,1,Common,Zombie,Creature
Catastrophe,{4}{W}{W},6,W,Andrew Robinson,,Sorcery,Destroy all lands or all creatures. Creatures destroyed this way can't be regenerated.,"USG,BRB","Radiant's eyes flashed. ""Go, then,"" the angel spat at Serra, ""and leave this world to those who truly care.""",normal,21143,,,Rare,,Sorcery
Cinder Marsh,,,"B,R",John Matson,,Land,{T}: Add {C} to your mana pool.\n{T}: Add {B} or {R} to your mana pool. Cinder Marsh doesn't untap during your next untap step.,"TMP,BRB,TPR",,normal,21170,,,Uncommon,,Land
